Size (bp),A1: CFD1806872
782.23,16.27
783.50,15.84
784.77,15.50
786.04,15.37
787.31,15.20
788.58,14.72
789.85,14.22
791.12,14.07
792.38,14.15
793.65,14.16
794.92,14.04
796.19,13.94
797.46,13.85
798.73,13.59
800.00,13.11
801.00,12.63
802.50,12.50
804.00,12.93
805.50,13.59
807.00,13.82
808.50,13.45
810.00,12.86
811.50,12.27
813.00,11.76
814.50,11.61
816.00,11.93
817.50,12.28
819.00,12.38
820.50,12.59
822.00,13.01
823.50,13.01
825.00,12.32
826.50,11.51
828.00,11.24
829.50,11.34
831.00,11.36
832.50,11.43
834.00,11.90
835.50,12.50
837.00,12.48
838.50,10.57
840.00,10.17
841.50,10.65
843.00,11.61
844.50,12.33
846.00,12.40
847.50,11.97
849.00,11.30
850.50,10.68
852.00,10.52
853.50,10.82
855.00,11.20
856.50,11.55
858.00,11.97
859.50,12.27
861.00,12.26
862.50,12.00
864.00,11.70
865.50,11.47
867.00,11.16
868.50,10.64
870.00,10.25
871.50,10.32
873.00,10.56
874.50,10.87
876.00,11.61
877.50,12.65
879.00,13.15
880.50,12.77
882.00,12.10
883.50,11.97
885.00,12.54
886.50,13.26
888.00,13.50
889.50,13.12
891.00,12.41
892.50,11.84
894.00,11.91
895.50,12.66
897.00,13.47
898.50,13.72
900.00,13.48
901.00,13.14
902.87,13.04
904.74,13.17
906.60,13.21
908.47,12.92
910.34,12.56
912.21,12.71
914.08,13.44
915.94,14.05
917.81,14.08
919.68,13.83
921.55,13.71
923.42,13.75
925.28,13.88
927.15,13.89
929.02,13.61
930.89,13.42
932.75,13.63
934.62,13.92
936.49,13.94
938.36,13.85
940.23,13.70
942.09,13.35
943.96,13.10
945.83,13.22
947.70,13.20
949.57,12.73
951.43,12.27
953.30,11.95
955.17,11.58
957.04,11.56
958.91,12.24
960.77,12.99
962.64,12.95
964.51,12.02
966.38,10.79
968.25,9.92
970.11,9.73
971.98,10.23
973.85,11.21
975.72,11.95
977.58,11.83
979.45,11.18
981.32,10.89
983.19,11.24
985.06,11.72
986.92,11.80
988.79,11.46
990.66,11.07
992.53,11.10
994.40,11.72
996.26,12.35
998.13,12.44
1000.00,12.18
1001.00,11.95
1003.58,11.66
1006.17,11.23
1008.75,10.65
1011.34,10.42
1013.92,10.33
1016.51,10.48
1019.09,10.45
1021.68,9.87
1024.26,9.01
1026.84,8.58
1029.43,8.73
1032.01,9.03
1034.60,9.41
1037.18,10.16
1039.77,11.02
1042.35,11.36
1044.94,11.07
1047.52,10.74
1050.10,10.59
1052.69,10.13
1055.27,9.36
1057.86,8.97
1060.44,9.25
1063.03,9.81
1065.61,10.35
1068.19,10.80
1070.78,11.29
1073.36,11.83
1075.95,12.11
1078.53,12.14
1081.12,12.22
1083.70,12.26
1086.29,11.86
1088.87,11.26
1091.45,11.12
1094.04,11.57
1096.62,11.93
1099.21,11.78
1101.79,11.57
1104.38,11.76
1106.96,12.15
1109.55,12.59
1112.13,13.36
1114.71,14.29
1117.30,14.73
1119.88,14.52
1122.47,14.07
1125.05,13.63
1127.64,13.18
1130.22,12.95
1132.81,13.19
1135.39,13.83
1137.97,14.36
1140.56,14.31
1143.14,13.80
1145.73,13.35
1148.31,13.08
1150.90,12.80
1153.48,12.51
1156.06,12.24
1158.65,11.95
1161.23,11.80
