Size (bp),F8: CFD1600800
2776.09,1127.08
2793.31,1123.81
2810.53,1116.52
2827.76,1108.03
2844.98,1104.96
2862.21,1108.84
2879.43,1113.70
2896.66,1114.83
2913.88,1114.54
2931.10,1115.94
2948.33,1116.82
2965.55,1113.11
2982.78,1105.11
3000.00,1098.14
3001.00,1097.70
3030.12,1103.51
3059.23,1108.94
3088.35,1107.83
3117.47,1100.53
3146.58,1091.59
3175.70,1085.23
3204.82,1084.91
3233.93,1092.25
3263.05,1103.32
3292.17,1110.69
3321.28,1111.71
3350.40,1109.72
3379.51,1107.10
3408.63,1103.83
3437.75,1101.23
3466.86,1101.07
3495.98,1102.01
3525.10,1101.21
3554.21,1098.19
3583.33,1093.60
3612.45,1086.58
3641.56,1078.24
3670.68,1074.02
3699.80,1076.81
3728.91,1082.02
3758.03,1083.43
3787.15,1080.19
3816.26,1075.79
3845.38,1072.61
3874.50,1068.64
3903.61,1060.18
3932.73,1047.31
3961.84,1034.61
3990.96,1027.04
4020.08,1025.88
4049.19,1027.76
4078.31,1028.52
4107.43,1027.66
4136.54,1026.52
4165.66,1024.49
4194.78,1020.99
4223.89,1018.64
4253.01,1019.87
4282.13,1022.75
4311.24,1023.20
4340.36,1020.19
4369.48,1016.79
4398.59,1018.09
4427.71,1019.19
4456.83,1016.20
4485.94,1009.24
4515.06,1001.77
4544.17,996.59
4573.29,993.55
4602.41,991.92
4631.52,992.45
4660.64,994.90
4689.76,995.67
4718.87,991.51
4747.99,983.66
4777.11,975.62
4806.22,968.99
4835.34,963.65
4864.46,959.46
4893.57,955.53
4922.69,949.87
4951.81,942.31
4980.92,936.29
5010.04,933.83
5039.16,931.49
5068.27,925.41
5097.39,916.81
5126.50,909.92
5155.62,907.62
5184.74,909.49
5213.85,912.79
5242.97,915.33
5272.09,915.81
5301.20,912.44
5330.32,904.92
5359.44,895.43
5388.55,884.98
5417.67,873.02
5446.79,862.28
5475.90,858.60
5505.02,863.39
5534.14,870.17
5563.25,871.86
5592.37,869.53
5621.49,870.39
5650.60,880.39
5679.72,907.79
5708.83,979.62
5737.95,1152.52
5767.07,1509.97
5796.18,2153.05
5825.30,3176.98
5854.42,4618.68
5883.53,6388.86
5912.65,8230.95
5941.77,9756.25
5970.88,10575.62
6000.00,10471.30
6028.85,9495.53
6057.74,7931.50
6086.64,6159.03
6115.53,4512.04
6144.43,3190.61
6173.32,2248.35
6202.22,1636.00
6231.11,1262.12
6260.01,1040.39
6288.90,909.63
6317.80,831.16
6346.69,781.29
6375.59,748.20
6404.48,727.59
6433.38,715.86
6462.27,708.29
6491.17,700.85
6520.06,690.42
6548.96,676.91
6577.85,665.79
6606.75,662.75
6635.64,665.23
6664.54,664.13
6693.43,655.03
6722.33,643.08
6751.22,634.70
6780.12,628.95
6809.01,619.95
6837.91,605.16
6866.80,589.33
6895.70,580.04
6924.59,579.10
6953.49,580.10
6982.38,575.07
7011.28,561.57
7040.17,544.75
7069.07,532.95
7097.96,529.83
7126.86,532.03
7155.75,534.62
7184.65,535.01
7213.54,532.02
7242.44,525.77
7271.33,518.38
7300.23,511.08
7329.12,502.27
7358.02,491.86
7386.91,483.26
7415.81,478.33
7444.70,474.23
7473.60,458.20
7502.49,450.66
7531.39,447.28
7560.28,446.65
7589.18,446.30
7618.07,446.24
7646.97,448.02
7675.86,451.27
7704.76,452.97
7733.65,449.74
7762.55,441.22
7791.44,430.57
7820.34,420.78
7849.23,412.62
7878.13,407.03
7907.02,405.06
7935.92,405.11
7964.81,404.26
7993.71,400.77
8022.60,394.22
8051.50,386.15
8080.39,380.12
8109.29,377.98
8138.18,377.08
8167.08,373.81
8195.97,368.72
8224.87,365.79
8253.76,366.52
8282.66,367.62
8311.55,365.94
8340.45,363.20
8369.34,362.58
8398.24,362.14
8427.13,356.69
8456.03,346.26
8484.92,336.96
8513.82,332.51
8542.71,329.99
8571.61,325.62
8600.50,320.18
8629.40,316.24
8658.29,313.82
8687.19,310.53
8716.08,304.81
8744.98,298.52
8773.88,294.71
8802.77,292.96
8831.67,289.95
8860.56,284.24
8889.46,277.39
8918.35,271.49
8947.25,267.87
8976.14,266.83
9005.04,266.86
9033.93,265.49
9062.83,261.70
9091.72,256.38
9120.62,251.11
9149.51,247.67
9178.41,247.58
9207.30,250.04
9236.20,251.22
9265.09,247.86
9293.99,240.82
9322.88,233.93
9351.78,229.79
9380.67,227.61
9409.57,225.49
9438.46,222.97
9467.36,219.96
9496.25,215.08
9525.15,207.29
9554.04,198.03
9582.94,189.74
9611.83,184.11
9640.73,182.74
9669.62,186.13
9698.52,191.31
9727.41,194.13
9756.31,193.72
9785.20,192.08
9814.10,190.31
9842.99,187.63
9871.89,183.25
9900.78,177.10
9929.68,169.89
9958.57,163.79
9987.47,161.77
10016.36,164.23
10045.26,167.64
10074.15,168.92
10103.05,169.38
10131.94,171.54
10160.84,174.14
10189.73,174.01
10218.63,170.94
10247.52,166.79
10276.42,161.97
10305.31,157.08
10334.21,154.58
10363.10,154.52
10392.00,152.73
10420.89,146.97
10449.79,139.79
10478.68,133.70
10507.58,125.03
10536.47,124.48
10565.37,126.78
10594.26,129.12
10623.16,128.50
10652.05,124.39
10680.95,119.85
10709.84,119.03
10738.74,121.79
10767.63,123.70
10796.53,122.23
10825.42,119.00
10854.32,116.43
10883.21,115.56
10912.11,115.88
10941.00,114.83
10969.90,110.07
10998.79,103.53
11027.69,100.07
11056.58,101.66
11085.48,105.34
11114.37,107.15
11143.27,105.97
11172.16,103.21
11201.06,100.83
11229.95,100.12
